title,my_rating,authors,publisher,publishedDate,pageCount,categories,averageRating,ratingsCount,description,thumbnail,infoLink
Sita,3,Amish Tripathi,Westland Publication Limited,2017,0,FICTION,3,2,"In this second book of the series, you will follow Lady Sita's journey from an Adopted Child to the Prime Minister to finding her true calling. She is the warrior we need. The Goddess we await. She will defend Dharma. She will protect us. India, 3400 BCE. India is beset with divisions, resentment, and poverty. The people hate their rulers. They despise their corrupt and selfish elite. Raavan, the demon king of Lanka, grows increasingly powerful, sinking his fangs deeper into the hapless Sapt Sindhu. Two powerful tribes, the protectors of the divine land of India, decide that enough is enough. A savior is needed. They begin their search. An abandoned baby is found in a field. Protected by a vulture from a pack of murderous wolves. She is adopted by the ruler of Mithila, a powerless kingdom, ignored by all. Nobody believes this child will amount to much. But they are wrong. For she is no ordinary girl. She is Sita.",http://books.google.com/books/content?id=GJPjtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=GJPjtAEACAAJ&dq=isbn:9789386224583&hl=&source=gbs_api
Scion of Ikshvaku,2.5,Amish Tripathi,Westland Publication Limited,2015,0,Hindu mythology,,,"3400 BCE. INDIA Ayodhya is weakened by divisions. A terrible war has taken its toll. The damage runs deep. The demon King of Lanka, Raavan, does not impose his rule on the defeated. He, instead, imposes his trade. Money is sucked out of the empire. The Sapt Sindhu people descend into poverty, despondency and corruption. They cry for a leader to lead them out of the morass. Little do they appreciate that the leader is among them. One whom they know. A tortured and ostracised prince. A prince they tried to break. A prince called Ram. He loves his country, even when his countrymen torment him. He stands alone for the law. His band of brothers, his Sita, and he, against the darkness of chaos. Will Ram rise above the taint that others heap on him? Will his love for Sita sustain him through his struggle? Will he defeat the demon Lord Raavan who destroyed his childhood? Will he fulfil the destiny of the Vishnu? Begin an epic journey with Amish's latest: the Ram Chandra Series.",http://books.google.com/books/content?id=SbLrjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=SbLrjgEACAAJ&dq=isbn:9789385152146&hl=&source=gbs_api
Raavan,3.5,Amish Tripathi,Westland Publication Limited,2019,0,FICTION,4.5,2,"WITHOUT THE DARKNESS, LIGHT HAS NO PURPOSE. WITHOUT THE VILLAIN, WHAT WOULD THE GODS DO? INDIA, 3400 BCE. A land in tumult, poverty and chaos. Most people suffer quietly. A few rebel. Some fight for a better world. Some for themselves. Some don't give a damn. Raavan. Fathered by one of the most illustrious sages of the time. Blessed by the Gods with talents beyond all. Cursed by fate to be tested to the extremes. A formidable teenage pirate, he is filled with equal parts courage, cruelty and fearsome resolve. A resolve to be a giant among men, to conquer, plunder, and seize the greatness that he thinks is his right. A man of contrasts, of brutal violence and scholarly knowledge. A man who will love without reward and kill without remorse. This exhilarating third book of the Ram Chandra series sheds light on Ravaan, the king of Lanka. And the light shines on darkness of the darkest kind. Is he the greatest villain in history or just a man in a dark place, all the time? Read the epic tale of one of the most complex, violent, passionate and accomplished men of all time.",http://books.google.com/books/content?id=p4OhxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=p4OhxgEACAAJ&dq=isbn:9789388754088&hl=&source=gbs_api
Immortals of Meluha,3.5,Amish Tripathi,Westland Publication Limited,2010,411,Fiction,5,2,"This is the first book in a trilogy on Shiva, the simple man whose karma re-cast his as our Mahadev, the God of Gods.",http://books.google.com/books/content?id=MlJyAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=MlJyAQAACAAJ&dq=isbn:9789380658742&hl=&source=gbs_api
Secret of The Nagas,3,Amish Tripathi,Westland Publication Limited,2011-05,395,Fiction,5,1,"Today, He is a God. 4000 years ago, He was just a man. The hunt is on. The sinister Naga warrior has killed his friend Brahaspati and now stalks his wife Sati. Shiva, the Tibetan immigrant who is the prophesied destroyer of evil, will not rest till he finds his demonic adversary. His vengeance and the path to evil will lead him to the door of the Nagas, the serpent people. Of that he is certain. The evidence of the malevolent rise of evil is everywhere. A kingdom is dying as it is held to ransom for a miracle drug. A crown prince is murdered. The Vasudevs - Shiva's philosopher guides - betray his unquestioning faith as they take the aid of the dark side. Even the perfect empire, Meluha is riddled with a terrible secret in Maika, the city of births. Unknown to Shiva, a master puppeteer is playing a grand game. In a journey that will take him across the length and breadth of ancient India, Shiva searches for the truth in a land of deadly mysteries - only to find that nothing is what it seems. Fierce battles will be fought. Surprising alliances will be forged. Unbelievable secrets will be revealed in this second book of the Shiva Trilogy, the sequel to the #1 national bestseller, The Immortals of Meluha.",http://books.google.com/books/content?id=0jaXswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=0jaXswEACAAJ&dq=isbn:9789381626344&hl=&source=gbs_api
The Oath of the Vayuputras,3,Amish Tripathi,Westland Publication Limited,2013,575,Fiction,,,"EVIL HAS RISEN. ONLY A GOD CAN STOP iT. Shiva is gathering his forces, he reaches the Naga capital, Panchavati, and Evil is finally revealed. The Neelkanth prepares for a holy war against his true enemy, a man whose name instils dread in the fiercest of warriors. India convulses under the onslaught of a series of brutal battles. it's a war for the very soul of the nation. many will die. But Shiva must not fail, no matter what the cost in his desperation, he reaches out to the ones who have never offered any help to him: the Vayuputras. Will he succeed? And what will be the real cost of battling Evil? To india? And to Shiva's soul? Discover the answer to these mysteries in this concluding part of the bestselling Shiva Trilogy",http://books.google.com/books/content?id=9B8ftAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=9B8ftAEACAAJ&dq=isbn:9789382618348&hl=&source=gbs_api
The Perks of Being a Wallflower,5,Stephen Chbosky,Simon and Schuster,14-08-2012,240,Fiction,4.5,4,Original publication and copyright date: 1999.,http://books.google.com/books/content?id=pK0X5FyUs28C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=pK0X5FyUs28C&dq=isbn:9781451696196&hl=&source=gbs_api
The Hitchhiker's Guide to the Galaxy,4,Douglas Adams,Pan Books,20-11-1995,732,"Science Fiction, Humorous, Action, Adventure, Fiction",5,1,"In one complete volume, here are the five classic novels from Douglas Adamsís beloved Hitchhiker series.

Now celebrating the pivotal 42nd anniversary of The Hitchhikerís Guide to the Galaxy, soon to be a Hulu original series!

The Hitchhikerís Guide to the Galaxy (Nominated as one of Americaís best-loved novels by PBSís The Great American Read)
Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.

The Restaurant at the End of the Universe
The moment before annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.

Life, the Universe and Everything
The unhappy inhabitants of planet Krikkit are sick of looking at the night skyñ so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.

So Long, and Thanks for All the Fish
Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription thrusts him back to reality. So to speak.

Mostly Harmless
Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?

Includes the bonus story ìYoung Zaphod Plays It Safeî",,http://books.google.co.in/books?id=WfxcAgAACAAJ&dq=hitchhiker+guide+to+galaxy&hl=&source=gbs_api
The Complete Sherlock Holmes,3.5,Sir Arthur Conan Doyle,PROJAPOTI,1984,1083,"Detective and mystery stories,  Classic Literature, Murder",4.1,165,"The Adventures of Sherlock Holmes is a collection of twelve short stories by Arthur Conan Doyle, first published on 14 October 1892. It contains the earliest short stories featuring the consulting detective Sherlock Holmes, which had been published in twelve monthly issues of The Strand Magazine from July 1891 to June 1892. The stories are collected in the same sequence, which is not supported by any fictional chronology. The only characters common to all twelve are Holmes and Dr. Watson and all are related in first-person narrative from Watson's point of view.",,http://books.google.co.in/books?id=bFR_vgEACAAJ&dq=isbn:9780600385554&hl=&source=gbs_api
Mysterious Eye of the Dragon (Geronimo Stilton #78),2,Geronimo Stilton,Scholastic Paperbacks,20-07-2021,132,Juvenile Fiction,3,1,"When you're with Geronimo Stilton, it's always a fabumouse adventure! My sister Thea and my cousin Trap were not getting along! When grandfather found them arguing over who would get to join me on a trip to Brazil, he forced us all to go together. My friend Isabela needed my help finding a mysterious emerald. Could Trap and Thea stop shouting their snouts off long enough to help find the stone?",http://books.google.com/books/content?id=ZxYCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=ZxYCEAAAQBAJ&source=gbs_api
The Metamorphosis (Legend Classics),4,Franz Kafka,Legend Press Ltd,01-06-2017,62,Fiction,,,"One of the seminal works of fiction of the 20th century, The Metamorphosis finds traveling salesman, Gregor Samsa, inexplicably transformed into a large, monstrous insect-like creature.",http://books.google.com/books/content?id=C2_BDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=C2_BDgAAQBAJ&source=gbs_api
The Stranger,4,Albert Camus,Gallimard,2024-04,0,Fiction,,,,http://books.google.com/books/content?id=Df290AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Df290AEACAAJ&dq=isbn:9789362764850&hl=&source=gbs_api
"Percy Jackson and the Olympians, Book One: Lightning Thief, The (Movie Tie-In Edition)",4.5,Rick Riordan,Puffin Books,05-01-2010,400,Juvenile Fiction,,,"After learning that the father he never knew is Poseidon, God of the Sea, Percy Jackson is sent to Camp Half-Blood, a summer camp for demigods, and becomes involved in a quest to prevent a catastrophic war between the gods.",http://books.google.com/books/content?id=sAOJngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=sAOJngEACAAJ&dq=isbn:9781423134947&hl=&source=gbs_api
Percy Jackson and the Sea of Monsters,4,Rick Riordan,Puffin Books,2013,0,Juvenile Nonfiction,5,1,"Percy Jackson - the son of Poseidon - has had an unnervingly quiet school year. But then he discovers that the magical borders protecting Half Blood Hill, a summer camp dedicated to training young demi-gods, are failing. Unless something is done, the camp will be attacked by demons and monsters.",http://books.google.com/books/content?id=EtSWmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=EtSWmgEACAAJ&dq=isbn:9780141346847&hl=&source=gbs_api
Percy Jackson and the Titan's Curse,4.5,Rick Riordan,Puffin Books,2013,0,"Animals, Mythical",,,"When the goddess Artemis disappears while hunting a rare, ancient monster, a group of her followers joins Percy and his friends in an attempt to find and rescue her before the winter solstice, when her influence is needed to sway the Olympian Council regarding the war with the Titans.",http://books.google.com/books/content?id=WDhKlAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=WDhKlAEACAAJ&dq=isbn:9780141346816&hl=&source=gbs_api
Percy Jackson and the Battle of the Labyrinth,4,Rick Riordan,Puffin Books,2013,0,Adventure stories,,,"After blowing up yet another school, Percy is forced to flee to Camp Half Blood, where he finds all is not well. A dangerous enemy, intent on destroying the secret training camp for young demi-gods, has found a way in through an ancient labyrinth. Percy and his friends must unravel the mysteries of the maze to stop this attack.",http://books.google.com/books/content?id=FeSOmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=FeSOmgEACAAJ&dq=isbn:9780141346830&hl=&source=gbs_api
Percy Jackson and the Greek Gods,5,Rick Riordan,Puffin Books,07-05-2015,0,Children's stories,,,"A publisher in New York asked me to write down what I know about the Greek gods, and I was like, Can we do this anonymously? Because I don't need the Olympians mad at me again. But if it helps you to know your Greek gods, and survive an encounter with them if they ever show up in your face, then I guess writing all this down will be my good deed for the week. So begins Percy Jackson's Greek Gods, in which the son of Poseidon adds his own magic--and sarcastic asides--to the classics. He explains how the world was created, then gives readers his personal take on a who's who of ancients, from Apollo to Zeus. Percy does not hold back. ""If you like horror shows, blood baths, lying, stealing, backstabbing, and cannibalism, then read on, because it definitely was a Golden Age for all that."" This novel-sized paperback, complete with an insert of full-color illustrations by Caldecott Honoree John Rocco, is portable and friendly, and the ideal way to introduce young readers to the classic stories. Praise for Percy Jackson's Greek Gods ""Percy's gift, which is no great secret, is to breathe new life into the gods. Closest attention is paid to the Olympians, but Riordan has a sure touch when it comes to fitting much into a small space-as does Rocco's artwork, which smokes and writhes on the page as if hit by lightning. . .The inevitable go-to for Percy's legions of fans who want the stories behind his stories."" -Kirkus Reviews ""The age-old stories are endlessly strong, resonant, and surprising, while the telling here is fresh, irreverent, and amusing. Percy's voice. . . John Rocco illustrates the myths with drama, verve, and clarity. A must-have addition to the Percy Jackson canon."" -Booklist Online ""Combining the sarcasm and wit of Percy Jackson with the original Greek myths is a great way to hook tweens and teens on the stories without boring them. The beautiful illustrations by John Rocco enhance each story. . ."" -VOYA",http://books.google.com/books/content?id=eBTaoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=eBTaoQEACAAJ&dq=isbn:9780141358680&hl=&source=gbs_api
Percy Jackson and the Greek Heroes,5,Rick Riordan,Puffin Books,2016,0,Juvenile Fiction,,,"Who cut off Medusa's head? Who was raised by a she-bear? Who tamed Pegasus? It takes a demigod to know, and Percy Jackson can fill you in on the all the daring deeds of Perseus, Atalanta, Bellerophon, and the rest of the major Greek heroes. Told in the funny, irreverent style readers have come to expect from Percy, (I've had some bad experiences in my time, but the heroes I'm going to tell you about were the original old school hard luck cases. They boldly screwed up where no one had screwed up before. . .) and enhanced with vibrant artwork by Caldecott Honoree John Rocco, this story collection will become the new must-have classic for Rick Riordan's legions of devoted fans--and for anyone who needs a hero. So get your flaming spear. Put on your lion skin cape. Polish your shield and make sure you've got arrows in your quiver. We're going back about four thousand years to decapitate monsters, save some kingdoms, shoot a few gods in the butt, raid the Underworld, and steal loot from evil people. Then, for dessert, we'll die painful tragic deaths. Ready? Sweet. Let's do this.",http://books.google.com/books/content?id=QMs9jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=QMs9jgEACAAJ&dq=isbn:9780141362250&hl=&source=gbs_api
"Kane Chronicles, The, Book One: The Red Pyramid",2,Rick Riordan,Puffin Books,04-05-2010,540,Juvenile Fiction,4.5,77,"Since their mother's death, Carter and Sadie have become near strangers. While Sadie has lived with her grandparents in London, her brother has traveled the world with their father, the brilliant Egyptologist, Dr. Julius Kane. One night, Dr. Kane brings the siblings together for a ""research experiment"" at the British Museum, where he hopes to set things right for his family. Instead, he unleashes the Egyptian god Set, who banishes him to oblivion and forces the children to flee for their lives. From the creator of the hit Percy Jackson series.",http://books.google.com/books/content?id=rYGJELZ1Y4QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=rYGJELZ1Y4QC&dq=isbn:9781423142492&hl=&source=gbs_api
The Throne of Fire,2,Rick Riordan,Puffin Books,2012,452,Adventure stories,,,Carter and Sadie must outsmart the House of Life and the gods of chaos in order to complete their worldwide search for an ancient Egyptian book.,http://books.google.com/books/content?id=HyB3tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=HyB3tAEACAAJ&dq=isbn:9781484495261&hl=&source=gbs_api
The Serpent's Shadow,2,Rick Riordan,Puffin Books,2013,0,Juvenile Fiction,,,"Carter and Sadie Kane face the impossible task of defeating Apophis, the serpent of chaos, before he can destroy the mortal world. Unfortunately, the magicians of the House of Life are on the brink civil war, the Gods are divided, and the young initiates of Brooklyn House stand almost alone against the forces of chaos.",http://books.google.com/books/content?id=8JZ-MgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=8JZ-MgEACAAJ&dq=isbn:9780141335704&hl=&source=gbs_api
The Lost Hero,4,Rick Riordan,Puffin Books,25-01-2012,526,Juvenile Nonfiction,3.5,9,"When Jason, Piper and Leo crash land at Camp Half-Blood, they have no idea what to expect. Apparently this is the only safe place for children of the Greek Gods - despite the monsters roaming the woods and demigods practising archery with flaming arrows and explosives.",http://books.google.com/books/content?id=jtmlYMvWsnEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=jtmlYMvWsnEC&dq=isbn:9780141325491&hl=&source=gbs_api
Heroes of Olympus,4,Rick Riordan,Penguin Books Limited,2017,519,,,,,,http://books.google.co.in/books?id=8mDyswEACAAJ&dq=isbn:9780241335536&hl=&source=gbs_api
The Mark of Athena,4.5,Rick Riordan,Penguin Books Limited,2012,584,Camps,5,1,"One fatal prophecy. Seven brace demigods. A quest to find - and close - the doors of death. Annabeth and her friends Piper, Jason and Leo have landed at camp Jupiter with one mission in mind. The time has come for Roman and Greek demigods to unite. With Percy Jackson, Hazel and Frank by their side, they must combine forces to find - and close - the Doors of Death. But Annabeth is hiding a secret - a command from her mother, the goddess of war and wisdom: 'Follow the Mark of Athena, Avenge me.' Annabeth is already risking her life . . . What more does Athena want her daughter to do? Now the seven demigods must begin their quest across land and sea to Rome, but what will they have to sacrifice this time - and what unspeakable horrors await?",http://books.google.com/books/content?id=w-kCtwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=w-kCtwAACAAJ&dq=isbn:9780141335759&hl=&source=gbs_api
The House of Hades,5,Rick Riordan,Penguin Books Limited,01-01-2013,597,Camps,5,8,"A thousand deadly monsters. Three battling demigods. One fatal decision. Hazel looked behind Hecate at the middle gateway. She saw Percy and Annabeth sprawled helplessly before those black-and-silver doors. A massive dark shape, vaguely humanoid, now loomed over them, its foot raised as if to crush Percy. 'What about them?' Hazel asked, her voice ragged. 'Percy and Annabeth?' Hecate shrugged. 'West, east or south . . . they die.' 'Not an option,' Hazel said. 'Then you have only one path - and that's the most dangerous of all . . .' Rick Riordan is the Myth Master The Greek Gods are alive and kicking - go to www.rickroirdanmythmaster.co.uk and see for yourself.",http://books.google.com/books/content?id=bcPflgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=bcPflgEACAAJ&dq=isbn:9780141339191&hl=&source=gbs_api
The Blood of Olympus,3.5,Rick Riordan,Penguin Books Limited,2014,592,Children's stories,,,"Seven heroic demigods. One final quest. The greatest sacrifice yet. 'The ruins are up there,' Piper promised. 'I saw them in Katoptris's blade. And you heard what Hazel said. 'The biggest' - ' ''The biggest gathering of evil spirits I've ever sensed.'' Jason recalled. 'Yeah, sounds awesome.' After battling through the underground temple of Hades, the last thing Jason wanted was to deal with more evil spirits. But the fate of the quest was at stake. The crew of the Argo IIhas a big decision to make. If they chose wrong, they would fail, and the entire world would be destroyed . . .",http://books.google.com/books/content?id=xC9fvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=xC9fvgEACAAJ&dq=isbn:9780141339252&hl=&source=gbs_api
Magnus Chase and the Sword of Summer,3.5,Rick Riordan,Penguin Books Limited,2016,0,Boston (Mass.),,,"Magnus Chase has always been a troubled kid. Since his mother's mysterious death, he's lived alone on the streets of Boston, surviving by his wits. One day, he's tracked down by an uncle he's never met - who tells him an impossible secret- Magnus is the son of a Norse god. The Viking myths are true. The gods of Asgard are preparing for war. Trolls, giants and worse monsters are stirring for doomsday. To prevent Ragnarok, Magnus must search the Nine Worlds for a weapon that has been lost for thousands of years.",http://books.google.com/books/content?id=g-GkjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=g-GkjwEACAAJ&dq=isbn:9780141342443&hl=&source=gbs_api
Magnus Chase and the Hammer of Thor,3.5,Rick Riordan,Penguin Books Limited,2016-10,528,,,,"""My name is Magnus Chase. Two months ago I died fighting a Fire Giant and woke up in Hotel Valhalla as one of Odin's warriors. Time for a rest? I wish. When I meet Otis, an informant with a lead on Thor's missing hammer, all I get is the name 'Provincetown' before a wolf-masked assassin takes him out and warns me to stay away. Someone really doesn't want me to find the hammer, and even if I could it's rumoured to be underground, guarded by powerful magic. But the giant armies are on the move, preparing to invade. If I don't find it, they'll ravage the Nine Worlds, starting with the streets of Boston. There's just one person who could help. Someone who demands a very high price- the gods' worst enemy, Loki.""",http://books.google.com/books/content?id=96MnjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=96MnjwEACAAJ&dq=isbn:9780141342559&hl=&source=gbs_api
Magnus Chase and the Ship of the Dead (Book 3),3.5,Rick Riordan,Penguin Books Limited,03-10-2017,449,Juvenile Fiction,4,6,"Rick Riordan's Norse hero faces his greatest challenge yet in the final instalment of the series. Loki the trickster god is free from his chains. Now he's readying Naglfar, the Ship of the Dead, armed with a host of giants and zombies, to sail against the Norse gods and begin the final battle of Ragnarok. It's up to Magnus Chase and his friends to stop Loki's plans, but to do so they will have to sail across the oceans of Midgard, Jotunheim and Niflheim in a desperate race to reach Naglfar before it's ready to sail on Midsummer's Day. Along the way, they will face angry sea gods, hostile giants, and an evil fire-breathing dragon who happens to be a former acquaintance. But Magnus's biggest challenge will be facing his own inner demons. To defeat Loki, Magnus will need to use words, not force. This will require finding a magical elixir so deadly that it will either make Magnus Chase powerful enough to out-talk the silver-tongued Loki, or destroy Magnus utterly.",http://books.google.com/books/content?id=-t8lDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=-t8lDwAAQBAJ&source=gbs_api
Brooklyn House Magician's Manual,3,Rick Riordan,Penguin Books Limited,03-05-2018,170,Juvenile Fiction,5,1,"Greetings, initiate! Carter Kane, here. Congratulations on reaching Brooklyn House in one piece. You are quite clearly descended from Egyptian royalty, with magical powers gifted from the gods. But what good is power without knowing how to use it? That's where this training manual comes in. It's packed with quizzes, stories and inside info on the Ancient Egyptian deities. For those with the blood of the pharaohs, this is your first step down the path of the gods. But beware, anything can happen in the world of Egyptian magic . . . Forming a trio with HOTEL VALHALLA and CAMP HALF-BLOOD CONFIDENTIAL, this companion guide gives readers the inside scoop on Brooklyn House - the safe haven in New York for magicians like Carter and Sadie Kane.",http://books.google.com/books/content?id=Ksc8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=Ksc8DwAAQBAJ&source=gbs_api
,3.381355932,,,,,,,,,,
,0.816526406,,,,,,,,,,
